GUJARAT,Sl.,No. & Name of,,2001 CENSUS POPULATION,
"",No.,Assembly Constituency,TOTAL,SCs % of SCs,SC Seats
PAPERïšº3,,,,,
"",25.,21-Unjha,256935,18715 7.28,
ASSEMBLY CONSTITUENCIES AND PERCENTAGE OF SC POPULATION - DISTRICT WISE,26.,26-Vijapur,245747,17348 7.06,
Sl. No. & Name of 2001 CENSUS POPULATION,,District Sabarkantha,2082531,173325 8.32,One
No. Assembly Constituency TOTAL SCs % of SCs SC Seats,27.,28-Idar (SC),318218,48412 15.21,4
District Kachchh 1583225 185932 11.74 One,28.,27-Himatnagar,269622,29763 11.04,
"",29.,33-Prantij,284124,23717 8.35,
1. 5-Gandhidham (SC) 279488 40721 14.57 1,,,,,
"",30.,31-Modasa,288385,23217 8.05,
2. 2-Mandvi 253583 34984 13.80,,,,,
"",31.,32-Bayad,272391,19017 6.98,
3. 1-Abdasa 276877 35123 12.69,,,,,
"",32.,30-Bhiloda (ST),335523,15953 4.75,
4. 6-Rapar 269019 28844 10.72,,,,,
"",33.,29-Khedbrahma (ST),314268,13246 4.21,
5. 4-Anjar 238656 23412 9.81,,,,,
6. 3-Bhuj 265602 22848 8.60,,District Gandhinagar,1313813,115007 8.75,Zero
District Banaskantha 2504423 271484 10.84 One,34.,36-Gandhinagar North,283878,35710 12.58,
"",35.,38-Kalol,255808,29219 11.42,
7. 11-Vadgam (SC) 296492 45060 15.20 2,,,,,
"",36.,35-Gandhinagar South,287429,22152 7.71,
8. 08-!arad 253111 35310 13.95,,,,,
"",37.,37-Mansa,250123,15814 6.32,
9. 07-Vav 291021 40378 13.87,,,,,
"",38.,34-Dehgam,236575,12112 5.12,
10. 09-Dhanera 269379 32747 12.16,,,,,
11. 12-Palanpur 289502 31896 11.02,,District Ahmedabad,5816519,620765 10.67,Two
12. 13-Deesa 278906 28310 10.15,39.,54-Danilimda (SC),265008,58609 22.12,5
13. 14-Deodar 262341 25781 9.83,40.,56-Asarwa (SC),278353,49348 17.73,6
14. 15-Kankrej 289172 22746 7.87,41.,48-!akkarbapa Nagar,289287,45154 15.61,
15. 10-Danta (ST) 274499 9256 3.37,42.,50-Amraiwadi,301176,45513 15.11,
District Patan  1182530 116879 9.88 Zero,43.,52-Jamalpur Khadia,263300,37720 14.33,
"",44.,58-Dholka,258187,36497 14.14,
16. 18-Patan 299774 32953 10.99,,,,,
"",45.,45-Naranpura,296410,38739 13.07,
17. 19-Sidhpur 275124 29250 10.63,,,,,
"",46.,49-Bapunagar,236194,28740 12.17,
18. 17-Chanasama 310689 32434 10.44,,,,,
"",47.,39-Viramgam,315929,36637 11.60,
19. 16-Radhanpur 296943 22242 7.49,,,,,
"",48.,40-Sanand,285081,32373 11.36,
District Mehsana 1844856 149138 8.08 One,49.,44-Ellisbridge,305878,29670 9.70,
20. 24-Kadi (SC) 296921 27320 9.20 3,50.,55-Sabarmati,257740,24828 9.63,
21. 20-Kheralu 238658 21270 8.91,51.,59-Dhandhuka,278091,23744 8.54,
22. 23-Becharaji 271835 23212 8.54,52.,46-Nikol,299861,25118 8.38,
23. 25-Mehsana 281581 22550 8.01,53.,57-Daskroi,264982,19483 7.35,
24. 22-Visnagar 253179 18723 7.40,54.,51-Dariapur,254907,17348 6.81,
